State,Tract,County,StateLegislativeDistrictsUpper
36,004300,061,026
36,004300,081,012
36,004300,119,034
36,004300,119,036
36,004301,067,053
36,004302,067,053
36,004400,005,032
36,004400,005,034
36,004400,047,022
36,004400,047,023
36,004400,061,027
36,004400,067,053
36,004400,119,034
36,004401,029,063
36,004401,081,012
36,004401,081,015
36,004402,029,063
36,004500,029,060
36,004500,029,063
36,004500,047,026
36,004500,061,026
36,004500,067,053
36,004500,081,012
36,004500,119,034
36,004600,005,034
36,004600,047,022
36,004600,047,023
36,004600,067,053
36,004600,119,037
36,004601,029,060
36,004601,029,063
36,004602,029,063
36,004602,055,055
36,004602,055,056
36,004700,029,063
36,004700,047,026
36,004700,061,026
36,004700,081,012
36,004700,085,023
36,004700,085,024
36,004700,119,037
36,004701,055,055
36,004701,055,056
36,004702,055,055
36,004702,055,056
36,004800,005,032
36,004800,029,060
36,004800,055,056
36,004800,061,027
36,004800,061,028
36,004800,067,053
36,004800,119,037
36,004900,029,060
36,004900,047,026
36,004900,055,056
36,004900,061,026
36,004900,067,053
36,004900,119,037
36,005000,029,060
36,005000,047,022
36,005000,047,023
36,005000,055,056
36,005000,061,027
36,005000,061,028
36,005000,067,053
36,005000,081,015
36,005000,085,023
36,005000,085,024
36,005001,005,032
36,005001,119,037
36,005002,005,032
36,005002,119,037
36,005100,005,029
36,005100,029,060
36,005100,047,026
36,005100,055,056
36,005100,067,053
36,005100,081,012
36,005100,119,037
36,005200,005,032
36,005200,055,056
36,005200,061,027
36,005200,061,028
36,005200,067,053
36,005200,081,015
36,005200,119,037
36,005201,029,060
36,005201,029,063
36,005201,047,022
36,005201,047,023
36,005202,029,063
36,005202,047,022
36,005202,047,023
36,005300,005,029
36,005300,029,060
36,005300,047,023
36,005300,047,025
36,005300,047,026
36,005300,055,055
36,005300,067,053
36,005300,081,012
36,005300,119,034
36,005400,005,032
36,005400,029,060
36,005400,047,022
36,005400,047,023
36,005400,055,055
36,005400,061,027
36,005400,061,028
36,005400,067,053
36,005400,081,015
36,005400,119,034
36,005500,029,060
36,005500,055,055
36,005500,055,056
36,005500,067,053
36,005500,081,012
36,005500,119,034
36,005501,061,026
36,005501,061,027
36,005502,061,026
36,005600,005,032
36,005600,029,060
36,005600,055,055
36,005600,061,028
36,005600,119,037
36,005601,047,022
36,005601,047,023
36,005601,067,053
36,005602,047,022
36,005602,047,023
36,005602,067,053
36,005700,029,060
36,005700,055,055
36,005700,061,027
36,005700,067,053
36,005700,081,012
36,005701,119,037
36,005702,119,037
36,005800,047,022
36,005800,055,055
36,005800,061,028
36,005800,067,053
36,005800,081,015
36,005800,119,035
36,005800,119,037
36,005801,029,060
36,005802,029,060
36,005900,029,060
36,005900,047,025
36,005900,047,026
36,005900,055,055
36,005900,061,027
36,005900,067,053
36,005900,081,012
36,005900,085,024
36,005901,119,035
36,005901,119,037
36,005902,005,029
36,005902,005,032
36,005902,119,035
36,005902,119,037
36,006000,005,032
36,006000,005,033
36,006000,047,022
36,006000,055,055
36,006000,061,027
36,006000,067,053
36,006000,119,035
36,006000,119,037
36,006100,005,029
36,006100,005,032
36,006100,029,060
36,006100,029,063
36,006100,055,055
36,006100,061,027
36,006100,061,028
36,006100,081,012
36,006100,119,035
36,006100,119,037
36,006101,067,053
36,006102,067,053
36,006103,067,053
36,006200,005,032
36,006200,047,022
36,006200,055,061
36,006200,061,027
36,006200,119,035
36,006200,119,037
36,006201,029,060
36,006201,081,015
36,006202,081,015
36,006300,005,029
36,006300,047,025
36,006300,047,026
36,006300,055,056
36,006300,055,061
36,006300,061,027
36,006300,081,012
36,006300,119,035
36,006301,029,060
36,006301,029,063
36,006302,029,060
36,006400,005,032
36,006400,047,022
36,006400,055,056
36,006400,055,061
36,006400,061,027
36,006400,061,028
36,006400,085,023
36,006400,085,024
36,006400,119,035
36,006400,119,037
36,006500,005,029
36,006500,005,032
36,006500,047,025
36,006500,047,026
36,006500,055,056
36,006500,055,061
36,006500,061,026
36,006500,061,027
36,006500,119,035
36,006500,119,037
36,006501,029,060
36,006501,029,063
36,006501,081,012
36,006502,081,012
36,006600,047,022
36,006600,055,061
36,006600,061,027
36,006600,061,028
36,006600,119,037
36,006601,029,060
36,006601,029,063
36,006602,029,060
36,006602,029,063
36,006700,005,029
36,006700,005,032
36,006700,047,026
36,006700,055,061
36,006700,061,027
36,006700,085,024
36,006700,119,035
36,006700,119,037
36,006701,029,063
36,006702,029,060
36,006702,029,063
36,006800,005,032
36,006800,029,063
36,006800,047,022
36,006800,055,061
36,006800,061,028
36,006801,119,037
36,006802,119,035
36,006802,119,037
36,006900,005,032
36,006900,047,025
36,006900,047,026
36,006900,055,061
36,006900,061,026
36,006900,061,027
36,006900,081,012
36,006900,119,037
36,006901,029,060
36,006901,029,063
36,006902,029,060
36,006902,029,063
36,007000,005,032
36,007000,029,060
36,007000,029,063
36,007000,047,022
36,007000,047,023
36,007000,055,061
36,007000,061,027
36,007000,061,028
36,007000,085,023
36,007000,085,024
36,007000,119,037
36,007100,005,032
36,007100,047,025
36,007100,055,061
36,007100,061,027
36,007100,081,012
36,007100,119,037
36,007101,029,063
36,007102,029,063
36,007200,005,032
36,007200,005,034
36,007200,047,020
36,007200,047,023
36,007200,061,028
36,007200,119,037
36,007202,029,060
36,007202,029,063
36,007300,005,029
36,007300,005,032
36,007300,061,027
36,007300,081,012
36,007300,119,037
